"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0[39]",8975.2726552715,8897.56,9384.59938799346,8830.6,0.95,-455.319,17900.9,NA,NA,NA,NA,NA,NA,NA
"beta0[40]",440.98493012815,759.367,975.281253534486,10680.7,0.95,-7786.7,7877.19,NA,NA,NA,NA,NA,NA,NA
"beta0[41]",23428.775098494,23191.1,22289.0678020548,18710.2,0.95,4419.31,43698.8,NA,NA,NA,NA,NA,NA,NA
"beta0[42]",26346.38588252,26290.9,25703.5892025046,11696.4,0.95,13143.4,40425.1,NA,NA,NA,NA,NA,NA,NA
"beta0[43]",24868.80802401,25134.65,24667.4853849139,20000,0.95,9000.94,40297.8,NA,NA,NA,NA,NA,NA,NA
"beta0[44]",20188.165528243,20490.6,20916.3541985653,14098.7,0.95,7676.43,32232.7,NA,NA,NA,NA,NA,NA,NA
"beta0[45]",40817.14344195,41514.4,41975.21062307,8894.8,0.95,30113,49436.7,NA,NA,NA,NA,NA,NA,NA
"beta0[46]",35975.39657265,36412.9,38057.8921584507,15329.6,0.95,23080.2,46729.8,NA,NA,NA,NA,NA,NA,NA
"beta0[47]",26736.334202805,26714.6,26675.8094035504,17037.2,0.95,9851.65,45248.4,NA,NA,NA,NA,NA,NA,NA
"beta0[48]",32952.8145975,33270.2,33848.7148682112,12197.2,0.95,18493.6,45107.3,NA,NA,NA,NA,NA,NA,NA
"beta0[49]",37106.873492,37347.4,37277.8544818658,10048.3,0.95,22742.5,49549.2,NA,NA,NA,NA,NA,NA,NA
"beta0[50]",10783.377601442,10748.4,10485.0640783411,16995.9,0.95,-2973.85,24160.3,NA,NA,NA,NA,NA,NA,NA
"beta0[51]",20172.21841328,20546.55,21009.97705798,9777.6,0.95,8641.99,31018.9,NA,NA,NA,NA,NA,NA,NA
"beta0[52]",36641.26473835,36639.6,36368.7719154661,19073.8,0.95,19567,54811.9,NA,NA,NA,NA,NA,NA,NA
"beta1[1]",18458.914507,18417.2,17887.8775959309,11743,0.95,9974.85,26391.5,NA,NA,NA,NA,NA,NA,NA
"beta1[2]",17610.865774025,17660.65,17661.6823553607,19421,0.95,7579.05,27178.3,NA,NA,NA,NA,NA,NA,NA
"beta1[3]",11230.55754862,11182.35,11187.7621821968,13554,0.95,3731.53,18752.2,NA,NA,NA,NA,NA,NA,NA
"beta1[4]",13586.39928915,13428.35,12894.9207055286,16900.5,0.95,6245.27,20760,NA,NA,NA,NA,NA,NA,NA
"beta1[5]",10518.3140593915,10549.35,10608.1016586069,2851.9,0.95,1669.79,19016.6,NA,NA,NA,NA,NA,NA,NA
"beta1[6]",16572.32347535,16213.95,15857.9332757261,12698.7,0.95,8526.99,25893.6,NA,NA,NA,NA,NA,NA,NA
"beta1[7]",27257.649203,27011.75,26171.9331216445,11225.5,0.95,17121.8,38080.1,NA,NA,NA,NA,NA,NA,NA
"beta1[8]",21369.442226,21376.25,20759.0696988638,18747.1,0.95,11939.4,30949.2,NA,NA,NA,NA,NA,NA,NA
"beta1[9]",15973.597296615,16071.55,16433.4000182951,19478.9,0.95,2318.72,30220.3,NA,NA,NA,NA,NA,NA,NA
"beta1[10]",13573.5020465,13410.2,12220.136484127,4755,0.95,6438.7,21079.4,NA,NA,NA,NA,NA,NA,NA
"beta1[11]",14372.383592,13947,13016.9482086337,10343.3,0.95,7463.23,22094.1,NA,NA,NA,NA,NA,NA,NA
"beta1[12]",22398.125243255,22527.45,22594.7694497977,18707.2,0.95,13442.5,31075.1,NA,NA,NA,NA,NA,NA,NA
"beta1[13]",14182.053418335,14151.7,14758.8450380126,16484.8,0.95,5695.08,22147.4,NA,NA,NA,NA,NA,NA,NA
"beta1[14]",20482.592345,20415.25,20453.2306085459,11675.8,0.95,14798.2,26097.2,NA,NA,NA,NA,NA,NA,NA
"beta1[15]",18535.1473145,18178.9,16838.97607315,6829.8,0.95,12512.9,25602.7,NA,NA,NA,NA,NA,NA,NA
"beta1[16]",18728.581863,18453.45,17914.8312934565,12376.3,0.95,12103.4,25913.3,NA,NA,NA,NA,NA,NA,NA
"beta1[17]",20523.0576175,20595.1,20955.2389557868,17429.6,0.95,13950.1,27080.6,NA,NA,NA,NA,NA,NA,NA
"beta1[18]",19605.787177,19380.45,18711.2618734685,9540.6,0.95,12646.2,27134.8,NA,NA,NA,NA,NA,NA,NA
